Grain Diameter,Misorientation Angle,KAM,phi1,Phi,phi2,Phase,CI,IQ
36.681,50.826,1.0058,293.32,77.91,30.71,Ferrite,0.356,134
14.536,6.48,1.3267,262.69,46.55,47.5,Ferrite,0.411,136
32.324,9.241,0.4573,147.1,43.17,60.25,Ferrite,0.958,170
29.338,50.159,0.2039,214.09,46.33,70.46,Ferrite,0.531,183
26.848,18.378,0.0711,157.05,51.95,7.21,Ferrite,0.396,203
38.605,42.83,0.5268,208.45,26.75,2.03,Ferrite,0.59,203
29.282,50.536,0.5051,186.3,52.51,10.3,Ferrite,0.51,181
30.693,31.883,0.4046,245.15,48.47,35.55,Ferrite,0.784,214
29.302,15.514,0.6664,182.78,64.41,42.0,Ferrite,0.97,105
25.646,42.974,0.7186,338.62,59.23,12.28,Austenite,0.673,213
9.859,61.588,0.6969,154.09,47.79,37.0,Ferrite,0.673,89
22.844,27.108,0.5052,5.73,62.08,39.75,Ferrite,0.492,158
17.129,23.906,0.2695,85.09,63.68,9.82,Ferrite,0.652,93
12.368,20.825,0.7997,180.22,45.78,82.5,Ferrite,0.455,160
46.893,5.441,0.6038,194.61,49.08,53.92,Ferrite,0.201,135
47.899,13.873,0.8665,198.86,28.3,34.97,Ferrite,0.893,91
40.556,3.821,0.837,257.24,41.91,45.62,Ferrite,0.544,171
24.677,10.81,0.1735,98.87,46.09,28.28,Ferrite,0.594,182
40.4,56.949,0.1697,239.37,55.89,76.89,Ferrite,0.267,104
22.12,5.058,0.3733,253.45,43.66,51.75,Ferrite,0.87,177
24.102,26.622,0.2831,148.06,48.84,44.54,Ferrite,0.336,105
13.45,41.126,0.8266,144.78,40.3,81.98,Ferrite,0.528,99
26.303,28.978,0.7054,64.41,57.05,75.42,Ferrite,0.872,101
22.606,30.5,0.9298,149.04,60.11,73.15,Ferrite,0.566,164
12.242,58.801,0.7189,283.25,59.83,20.3,Ferrite,0.945,189
21.499,47.049,0.6626,327.23,55.15,13.78,Austenite,0.367,164
21.225,12.085,0.9599,213.7,36.51,62.11,Ferrite,0.772,193
49.4,12.034,0.7409,107.77,47.56,42.18,Ferrite,0.982,163
32.899,40.26,0.6204,245.62,50.11,61.53,Ferrite,0.64,192
22.114,37.894,1.0441,266.45,50.16,68.46,Ferrite,0.754,217
24.606,4.77,0.6346,119.6,55.9,26.58,Ferrite,0.515,135
127.131,26.125,0.5087,297.56,72.11,25.62,Ferrite,0.801,101
20.08,39.799,0.3487,26.53,64.75,44.17,Ferrite,0.927,99
13.517,18.167,0.8109,3.87,43.15,24.62,Ferrite,0.762,164
20.554,58.779,0.9711,44.27,63.14,60.06,Ferrite,0.949,157
15.726,20.821,0.5848,56.16,62.68,67.21,Ferrite,0.671,106
12.533,8.746,0.9924,316.41,45.33,42.48,Ferrite,0.662,203
27.691,12.529,0.01,152.99,65.19,65.14,Ferrite,0.444,214
26.235,19.556,0.5834,98.98,53.08,45.94,Ferrite,0.768,115
9.846,57.313,0.588,154.47,38.08,64.16,Ferrite,0.906,109
20.818,11.712,0.3819,142.14,60.46,20.25,Ferrite,0.717,110
34.436,18.225,1.3152,108.53,57.6,66.5,Ferrite,0.386,134
35.435,47.517,0.5801,49.64,52.27,64.36,Ferrite,0.635,199
34.906,44.687,0.4777,236.13,54.55,23.99,Ferrite,0.805,163
22.389,50.595,0.6078,49.18,46.37,50.04,Ferrite,0.951,89
